trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,11,-100.66232723607165,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.8960524975255252}",25,7,-17.279133160837464,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.891568288195329}",30,0,-181.97803586391862,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,0,-206.71271767647386,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101215}",20,0,-84.27397635989041,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-104.07556663749196,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",20,0,-91.7929158919572,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",30,0,-109.24319611263186,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",20,0,-104.55099883652017,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-70.26277183080349,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",30,0,-221.23685901540784,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-183.3658891474308,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,0,-190.34470512109078,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",30,6,-28.729896245560127,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
